,RunId,iteration,Step,outcome_collection,ceiling,grow_factor,media_weight_trust,media_weight_perc,phase_change_factor,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
190,11,11,14,SingleRun,0.4,30,0.04,0.2,0.1,217,640,143,0,0.0,0,0,0,0
191,11,11,15,SingleRun,0.4,30,0.04,0.2,0.1,149,588,263,1,0.0,1,0,0,0
192,11,11,16,SingleRun,0.4,30,0.04,0.2,0.1,140,567,292,0,0.0,1,0,0,0
193,11,11,17,SingleRun,0.4,30,0.04,0.2,0.1,133,559,307,1,0.0,1,1,0,0
194,11,11,18,SingleRun,0.4,30,0.04,0.2,0.1,128,552,318,2,0.0,1,3,0,0
195,11,11,19,SingleRun,0.4,30,0.04,0.2,0.1,114,549,333,4,0.0,3,3,0,2
196,11,11,20,SingleRun,0.4,30,0.04,0.2,0.1,108,545,339,3,0.0,5,4,0,2
197,11,11,21,SingleRun,0.4,30,0.04,0.2,0.1,106,525,358,5,0.0,6,7,1,2
198,11,11,22,SingleRun,0.4,30,0.04,0.2,0.1,105,524,355,4,0.0,9,8,1,2
199,11,11,23,SingleRun,0.4,30,0.04,0.2,0.1,91,525,364,0,0.0,9,8,1,2
200,11,11,24,SingleRun,0.4,30,0.04,0.2,0.1,88,521,371,1,0.0,9,9,1,2
201,11,11,25,SingleRun,0.4,30,0.04,0.2,0.1,29,476,474,7,0.0,13,12,1,2
202,11,11,26,SingleRun,0.4,30,0.04,0.2,0.1,13,399,560,6,0.0,13,12,2,7
203,11,11,27,SingleRun,0.4,30,0.04,0.2,0.1,13,386,567,7,0.0,13,17,2,9
204,11,11,28,SingleRun,0.4,30,0.04,0.2,0.1,11,374,574,8,0.0,16,20,3,10
205,11,11,29,SingleRun,0.4,30,0.04,0.2,0.1,11,374,566,8,0.0,19,24,3,11
206,11,11,30,SingleRun,0.4,30,0.04,0.2,0.1,11,374,558,13,0.0,23,29,4,14
207,11,11,31,SingleRun,0.4,30,0.04,0.2,0.1,11,372,547,9,0.0,25,35,5,14
208,11,11,32,SingleRun,0.4,30,0.04,0.2,0.1,11,372,538,9,0.0,28,39,5,16
209,11,11,33,SingleRun,0.4,30,0.04,0.2,0.1,11,367,534,11,0.0,30,45,6,18
210,11,11,34,SingleRun,0.4,30,0.04,0.2,0.1,11,357,533,17,0.0,35,54,7,20
211,11,11,35,SingleRun,0.4,30,0.04,0.2,0.1,11,354,519,4,0.0,35,57,7,21
212,11,11,36,SingleRun,0.4,30,0.04,0.2,0.1,8,342,530,10,0.0,37,61,8,24
213,11,11,37,SingleRun,0.4,30,0.04,0.2,0.1,7,332,531,15,0.0,41,69,9,26
214,11,11,38,SingleRun,0.4,30,0.04,0.2,0.1,6,328,521,19,0.0,46,75,11,32
215,11,11,39,SingleRun,0.4,30,0.04,0.2,0.1,6,328,502,19,0.0,51,79,13,40
216,11,11,40,SingleRun,0.4,30,0.04,0.2,0.1,6,326,485,10,0.0,54,81,13,45
217,11,11,41,SingleRun,0.4,30,0.04,0.2,0.1,6,325,476,21,0.0,63,90,13,48
218,11,11,42,SingleRun,0.4,30,0.04,0.2,0.1,6,325,455,8,0.0,66,93,14,49
219,11,11,43,SingleRun,0.4,30,0.04,0.2,0.1,3,286,489,12,0.0,68,101,15,50
220,11,11,44,SingleRun,0.4,30,0.04,0.2,0.1,3,272,491,19,0.0,74,106,18,55
221,11,11,45,SingleRun,0.4,30,0.04,0.2,0.1,3,254,490,17,0.0,80,114,20,56
222,11,11,46,SingleRun,0.4,30,0.04,0.2,0.1,2,248,480,22,0.0,87,124,20,61
223,11,11,47,SingleRun,0.4,30,0.04,0.2,0.1,2,209,497,19,0.0,93,131,22,65
224,11,11,48,SingleRun,0.4,30,0.04,0.2,0.1,1,199,489,19,0.0,98,137,23,72
225,11,11,49,SingleRun,0.4,30,0.04,0.2,0.1,1,181,488,15,0.0,100,148,25,72
226,11,11,50,SingleRun,0.4,30,0.04,0.2,0.1,1,180,474,27,0.0,108,161,26,77
227,11,11,51,SingleRun,0.4,30,0.04,0.2,0.1,1,179,448,18,0.0,116,170,27,77
228,11,11,52,SingleRun,0.4,30,0.04,0.2,0.1,1,179,430,23,0.0,121,173,30,89
229,11,11,53,SingleRun,0.4,30,0.04,0.2,0.1,1,179,407,25,0.0,128,184,33,93
230,11,11,54,SingleRun,0.4,30,0.04,0.2,0.1,1,179,382,32,0.0,136,195,37,102
231,11,11,55,SingleRun,0.4,30,0.04,0.2,0.1,1,170,359,46,0.0,154,209,39,114
232,11,11,56,SingleRun,0.4,30,0.04,0.2,0.1,1,149,334,58,0.0,165,241,42,126
233,11,11,57,SingleRun,0.4,30,0.04,0.2,0.1,1,146,279,42,0.0,184,258,44,130
234,11,11,58,SingleRun,0.4,30,0.04,0.2,0.1,0,128,256,46,0.0,197,276,46,143
235,11,11,59,SingleRun,0.4,30,0.04,0.2,0.1,0,125,213,40,0.0,216,283,51,152
236,11,11,60,SingleRun,0.4,30,0.04,0.2,0.1,0,121,177,36,0.0,232,294,51,161
237,11,11,61,SingleRun,0.4,30,0.04,0.2,0.1,0,89,173,40,0.0,251,305,52,170
238,11,11,62,SingleRun,0.4,30,0.04,0.2,0.1,0,88,134,37,0.0,263,317,56,179
239,11,11,63,SingleRun,0.4,30,0.04,0.2,0.1,0,88,97,29,0.0,272,326,60,186
240,11,11,64,SingleRun,0.4,30,0.04,0.2,0.1,0,88,68,15,0.0,280,329,61,189
241,11,11,65,SingleRun,0.4,30,0.04,0.2,0.1,0,88,53,17,0.0,285,336,61,194
242,11,11,66,SingleRun,0.4,30,0.04,0.2,0.1,0,88,36,6,0.0,286,339,61,196
243,11,11,67,SingleRun,0.4,30,0.04,0.2,0.1,0,88,30,10,0.0,290,342,61,199
244,11,11,68,SingleRun,0.4,30,0.04,0.2,0.1,0,87,21,2,0.0,291,343,61,199
245,11,11,69,SingleRun,0.4,30,0.04,0.2,0.1,0,87,19,6,0.0,293,345,61,201
246,11,11,70,SingleRun,0.4,30,0.04,0.2,0.1,0,87,13,0,0.0,293,345,61,201
247,11,11,71,SingleRun,0.4,30,0.04,0.2,0.1,0,87,13,3,0.0,294,346,61,202
248,11,11,72,SingleRun,0.4,30,0.04,0.2,0.1,0,87,10,2,0.0,294,347,61,203
