,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,MD9,MD10
268,3,2,2,2,3,1.0,0.75,1.0,0.75,0.75
269,2,2,2,2,2,0.5,0.75,0.75,1.0,1.0
270,100,6,3,3,12,0.25,0.5,0.75,0.75,0.5
271,2,2,2,2,12,0.5,1.0,0.75,1.0,1.0
272,12,12,12,12,12,1.0,0.75,0.75,0.75,0.75
273,100,12,100,6,100,0.0,0.75,0.5,1.0,0.5
274,6,3,6,3,12,0.25,0.75,0.5,1.0,0.5
275,12,6,6,6,12,0.5,0.5,0.5,0.5,0.5
276,100,12,12,6,100,0.75,1.0,0.75,1.0,1.0
277,100,100,100,2,100,0.0,0.0,0.0,0.5,0.0
278,3,3,3,3,6,0.75,0.75,0.75,0.75,0.5
279,2,2,2,2,2,0.75,0.75,1.0,1.0,0.75
280,3,12,3,6,100,0.25,0.25,0.25,0.75,0.5
281,100,100,100,2,100,0.0,0.5,0.5,0.75,0.25
282,100,100,100,2,12,0.25,0.5,0.25,1.0,0.5
283,100,100,6,6,100,0.0,0.75,0.75,1.0,0.75
284,100,2,3,2,100,0.0,0.75,0.5,0.75,0.5
285,12,12,3,2,100,0.25,1.0,0.5,1.0,1.0
286,100,3,12,2,100,0.25,0.75,0.25,0.75,0.5
287,100,2,100,2,100,0.0,0.75,0.5,0.75,0.75
288,2,2,2,2,2,0.75,0.75,1.0,1.0,0.75
289,2,100,2,2,100,0.5,0.5,0.5,0.75,0.5
290,2,3,3,12,2,0.75,0.75,1.0,1.0,0.75
291,6,12,3,12,100,0.25,0.5,1.0,0.25,0.0
292,3,3,3,3,100,0.25,0.25,0.5,0.5,0.25
293,3,100,3,6,100,0.75,0.0,0.75,0.5,0.5
294,3,6,2,2,12,1.0,1.0,0.5,1.0,0.5
295,12,100,12,6,100,0.25,0.0,0.25,0.5,0.0
296,100,12,6,12,100,0.25,0.25,0.25,0.25,0.5
297,100,100,2,2,100,0.0,0.5,1.0,1.0,0.5
298,3,6,3,3,6,0.5,0.5,1.0,1.0,1.0
299,3,3,3,3,100,0.5,0.5,0.5,0.5,0.25
300,100,12,6,3,12,0.25,0.75,0.5,0.75,0.75
301,3,2,2,2,100,0.25,0.5,0.5,0.75,0.25
302,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
303,12,6,12,6,12,0.75,0.75,1.0,0.75,0.5
304,100,3,6,2,100,0.0,0.5,0.5,1.0,0.75
305,6,100,3,2,100,0.0,0.75,1.0,1.0,0.75
306,12,2,2,2,6,0.0,0.5,0.75,1.0,1.0
307,2,100,2,2,100,0.5,0.75,0.75,1.0,0.5
308,100,2,2,100,100,0.0,0.75,1.0,0.75,0.0
