,RA,EI,ECB
444,1.0,1.0,0.9999999999999999
445,-1.0,0.9562965871865186,0.6937728927471278
446,0.7604543376714081,0.8654028412513352,0.9999999999999999
447,0.43979223725589844,0.7325338513594153,0.443772892747128
449,-0.573100574609549,1.0,0.49999999999999994
450,0.0715823941024186,0.7105979972096103,0.49999999999999994
451,0.7569652399483335,0.8949587302463236,0.9999999999999999
452,0.4268994253904511,0.8216994284378536,0.49999999999999994
453,0.012358404864702743,0.9605979972096103,0.7549232536639702
14,0.5000000000000003,0.7822974256474639,0.5944248195415788
25,9.71445146547012e-17,0.16190942118465101,0.7499999999999999
32,0.06598681434663545,0.6055567274559337,0.6937728927471278
43,0.4263650183897064,0.2499999999999999,0.25
48,-1.0,0.7080553386379935,0.9999999999999999
55,0.2735533699381692,0.5746403084490863,0.09442481954157889
59,0.7486303398074501,0.6492601402694153,0.46180228771129306
70,0.2672710573051609,0.7062965871865184,0.5993480732055491
74,0.241813620173697,0.6128296000849884,0.49999999999999994
81,-0.24985147968541954,0.1783311541568765,0.3444248195415789
84,-0.06362620488262724,0.29976357428804834,0.6937728927471278
86,0.4974130054913802,0.696450473391117,0.943772892747128
112,0.0020525875078754585,0.6948906000205006,0.3875457854942559
121,0.2796294621698635,0.6451270257324522,0.49999999999999994
122,0.32801322705000735,0.3830372853780486,0.8062271072528719
126,0.01795398462048596,0.7676344441267133,0.6937728927471278
130,9.71445146547012e-17,0.5340255945042087,0.5513038535889017
131,0.4251438785117367,0.7123567486610853,0.7499999999999999
139,0.2841562279241573,0.4356040267859312,0.6937728927471278
147,-0.06271308696079003,0.2014797194611695,0.5381977122887067
150,0.02218370974561895,0.6123447249774614,0.3875457854942559
153,0.07036125422444879,0.8234275972945986,0.293120965952677
154,0.6142531884523097,0.3555567274559337,0.5944248195415788
160,0.5000000000000003,0.47220286245648674,0.793120965952677
164,0.4078059711839272,0.811337856940195,0.6375457854942559
167,0.22037053783013688,0.3731911715826471,0.5332744586247364
170,0.8537988507809022,0.47826302393105363,0.793120965952677
189,0.4263650183897064,0.5176344441267133,0.19377289274712806
191,-0.26354459321050244,0.32166884584312344,0.09934807320554917
203,0.09105455923003507,0.3495271485760969,0.4819706050358348
225,0.4268994253904511,0.36540284125133515,0.443772892747128
227,0.41605920103287913,0.04976357428804834,0.543120965952677
229,0.5000000000000003,0.6068000212051516,0.5944248195415788
241,0.4866927567309224,0.711281750397996,0.8444248195415787
243,-0.3429586264233298,0.561337856940195,0.49999999999999994
252,0.34492954363927375,0.7900857559787756,0.5944248195415788
255,0.4346999185305901,0.5060601614745668,0.655575180458421
258,0.5000000000000003,0.6128296000849884,0.8875457854942558
260,-0.42689942539045067,0.3057931531678851,0.8444248195415787
262,1.0,0.8294877587691655,0.4819706050358348
266,0.7519040671932951,0.9168945843961287,0.905575180458421
272,0.4101665806479352,0.2499999999999999,0.5381977122887067
278,1.0,0.6675783375845145,0.7499999999999999
283,0.5597933313404715,0.6451270257324522,0.6375457854942559
291,0.2796294621698635,0.44007373229515173,0.7499999999999999
296,0.3197599972010554,0.5103615714976586,0.5944248195415788
299,0.5000000000000003,0.4842620202161603,0.4819706050358348
305,0.8532644437801573,0.31133785694019506,0.3875457854942559
308,0.5000000000000003,0.5734275972945985,0.6326225318302856
313,0.5000000000000003,0.5000000000000001,0.2881977122887067
315,0.412785473647034,0.7282324413363236,0.8444248195415787
320,0.8532644437801573,0.6948906000205006,0.8875457854942558
324,-0.4258845059137949,0.6330372853780486,0.8875457854942558
330,-0.25190406719329483,0.6226757138803899,0.6375457854942559
343,0.8532644437801573,0.8057931531678852,0.7499999999999999
344,-1.0,0.3893834438792835,0.849348073205549
346,0.2609887446721526,0.7226877375640138,0.5381977122887067
349,-0.5000000000000001,0.6451270257324522,0.3875457854942559
357,0.17362950356650597,0.5570364469171032,0.905575180458421
361,0.9160592010328792,0.21062857980434024,0.18884963908315755
362,0.6818120778309094,0.5996954440622256,0.48689385869980506
374,-0.18538284584591486,0.43401357082058484,0.3875457854942559
377,0.8532644437801573,0.16637912669387134,0.48689385869980506
381,0.01113726498673294,0.716658158684177,0.443772892747128
385,0.31339601427611546,0.0,0.8313186782413838
388,0.5859933864749967,0.6948906000205006,0.5381977122887067
397,0.5592589243397269,0.4289843247505323,0.09442481954157889
399,0.9160592010328792,0.8949587302463236,0.9999999999999999
401,0.5000000000000003,0.5953634514444037,0.7881977122887067
405,0.3609126110438158,0.4678708698386649,0.3875457854942559
408,-0.35273003677941245,0.2876738339336449,0.49999999999999994
422,0.3671949236768241,0.7282324413363236,0.5944248195415788
426,0.41856452524956755,0.06133785694019489,0.849348073205549
427,0.5000000000000003,0.5400551733840455,0.2881977122887067
437,0.7306763551869642,0.90653301289847,0.9999999999999999
448,0.5000000000000003,0.42243928816843834,0.7881977122887067
